1.0,0.0,rock,1536.0,rock,
12.0,7680.0,pop,506880.0,pop,
27.0,23040.0,pop,
28.0,26640.0,rock,768.0,rock,2304.0,rock,3840.0,rock,5376.0,rock,8448.0,rock,14592.0,rock,17664.0,rock,26880.0,rock,42240.0,rock,43776.0,rock,45312.0,rock,46848.0,rock,11520.0,pop,23040.0,pop,510720.0,pop,
29.0,216576.0,rock,21504.0,rock,
30.0,72000.0,rock,75840.0,rock,34560.0,pop,38400.0,pop,5376.0,pop,
31.0,3072.0,classical,987136.0,classical,0.0,rock,10752.0,rock,47616.0,rock,54528.0,rock,62976.0,rock,143616.0,rock,19584.0,rock,22656.0,rock,0.0,rock,768.0,rock,
32.0,41472.0,rock,1536.0,pop,3072.0,pop,4608.0,pop,
33.0,143040.0,classical,19080.0,rock,21240.0,rock,23040.0,rock,25080.0,rock,25200.0,rock,28680.0,rock,28800.0,rock,30720.0,rock,73800.0,rock,75600.0,rock,75720.0,rock,77640.0,rock,79440.0,rock,79560.0,rock,80520.0,rock,80640.0,rock,720.0,rock,115968.0,rock,17664.0,rock,4992.0,pop,6528.0,pop,8064.0,pop,3360.0,pop,
34.0,36864.0,classical,18240.0,classical,37440.0,classical,4992.0,rock,120.0,pop,
35.0,136320.0,classical,17520.0,rock,33600.0,rock,33024.0,rock,49152.0,rock,480.0,rock,1440.0,rock,2400.0,rock,3360.0,rock,11040.0,rock,12000.0,rock,14976.0,rock,15360.0,rock,24192.0,rock,30720.0,rock,33792.0,rock,89088.0,rock,42240.0,pop,192000.0,pop,38400.0,pop,39936.0,pop,41472.0,pop,43008.0,pop,62208.0,pop,63744.0,pop,65280.0,pop,66816.0,pop,2688.0,pop,5760.0,pop,7680.0,pop,9600.0,pop,144000.0,pop,147840.0,pop,151680.0,pop,188160.0,pop,190080.0,pop,192000.0,pop,193920.0,pop,3072.0,pop,6144.0,pop,15360.0,pop,39936.0,pop,43008.0,pop,6144.0,pop,48384.0,pop,41472.0,pop,
36.0,11040.0,classical,34080.0,classical,802816.0,classical,806912.0,classical,811008.0,classical,815104.0,classical,19200.0,rock,21360.0,rock,25320.0,rock,28920.0,rock,30840.0,rock,32640.0,rock,54720.0,rock,73920.0,rock,75840.0,rock,77760.0,rock,80760.0,rock,16128.0,rock,16896.0,rock,19200.0,rock,19968.0,rock,900.0,rock,9216.0,rock,10752.0,rock,13824.0,rock,15360.0,rock,19968.0,rock,32256.0,rock,43008.0,rock,49152.0,rock,53760.0,rock,61440.0,rock,67584.0,rock,72192.0,rock,84480.0,rock,89088.0,rock,95232.0,rock,101376.0,rock,107520.0,rock,112128.0,rock,118272.0,rock,124416.0,rock,130560.0,rock,136704.0,rock,147456.0,rock,153600.0,rock,159744.0,rock,164352.0,rock,165888.0,rock,168960.0,rock,170496.0,rock,175104.0,rock,176640.0,rock,182784.0,rock,185856.0,rock,192000.0,rock,193536.0,rock,64512.0,rock,93696.0,rock,96768.0,rock,99072.0,rock,123648.0,rock,148224.0,rock,97920.0,rock,101760.0,rock,105600.0,rock,67680.0,rock,25344.0,rock,44928.0,rock,24192.0,rock,26496.0,rock,26880.0,rock,27264.0,rock,30336.0,rock,33024.0,rock,60288.0,rock,61056.0,rock,3456.0,rock,5376.0,rock,11520.0,rock,14592.0,rock,90112.0,pop,68352.0,pop,69888.0,pop,71424.0,pop,72960.0,pop,36480.0,pop,38400.0,pop,42240.0,pop,46080.0,pop,96000.0,pop,97920.0,pop,99840.0,pop,103680.0,pop,107520.0,pop,74880.0,pop,76800.0,pop,78720.0,pop,195840.0,pop,
37.0,33840.0,classical,34560.0,classical,17280.0,classical,125280.0,classical,107520.0,classical,1536.0,rock,27360.0,rock,46080.0,pop,768.0,pop,
38.0,23040.0,classical,3960.0,classical,33360.0,classical,55680.0,classical,56640.0,classical,86400.0,classical,152640.0,classical,720.0,classical,2160.0,classical,6480.0,classical,7920.0,classical,14400.0,classical,18000.0,classical,21600.0,classical,28800.0,classical,30240.0,classical,34560.0,classical,36000.0,classical,42480.0,classical,46080.0,classical,49680.0,classical,113664.0,classical,132480.0,rock,17640.0,rock,26880.0,rock,33720.0,rock,61200.0,rock,9216.0,rock,1536.0,rock,3072.0,rock,6144.0,rock,7680.0,rock,9216.0,rock,10752.0,rock,12288.0,rock,21504.0,rock,70080.0,rock,116160.0,rock,337.0,rock,22272.0,rock,41856.0,rock,47232.0,rock,53376.0,rock,33408.0,rock,19584.0,rock,33600.0,pop,37440.0,pop,41280.0,pop,45120.0,pop,95040.0,pop,98880.0,pop,102720.0,pop,106560.0,pop,3072.0,pop,6144.0,pop,
39.0,33120.0,classical,827392.0,classical,831488.0,classical,30240.0,classical,88320.0,classical,49920.0,rock,54528.0,rock,
40.0,43920.0,classical,13920.0,classical,31920.0,classical,32400.0,classical,32640.0,classical,89088.0,classical,116160.0,classical,125760.0,classical,13680.0,classical,41760.0,classical,119808.0,classical,74880.0,classical,1800.0,rock,19320.0,rock,21480.0,rock,23280.0,rock,25440.0,rock,29040.0,rock,30960.0,rock,74040.0,rock,75960.0,rock,77880.0,rock,80880.0,rock,95400.0,rock,24000.0,rock,25920.0,rock,26880.0,rock,57600.0,rock,69600.0,rock,106560.0,rock,124320.0,rock,6912.0,rock,13056.0,rock,28416.0,rock,0.0,rock,5760.0,pop,178560.0,pop,1152.0,pop,1536.0,pop,
41.0,1440.0,classical,21600.0,classical,133920.0,classical,142560.0,classical,30240.0,classical,59040.0,classical,0.0,classical,7680.0,classical,8640.0,classical,16320.0,classical,27840.0,classical,34560.0,classical,44160.0,classical,58560.0,classical,65280.0,classical,66240.0,classical,70080.0,classical,96960.0,classical,146880.0,classical,147840.0,classical,151680.0,classical,122880.0,classical,17760.0,rock,27000.0,rock,33840.0,rock,59160.0,rock,95760.0,rock,2880.0,rock,24000.0,pop,54720.0,pop,116160.0,pop,186240.0,pop,153600.0,pop,
